layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,freq_vqa,freq_vsr,freq_diff,odds_ratio,p_raw,p_adj
16,14138,49656,50000,7529,7529,0.99312,1.0,0.006879999999999997,1000000000.0,9.489898981447178e-22,7.563793600480475e-21
16,13636,49689,50000,7529,7529,0.99378,1.0,0.006220000000000003,1000000000.0,9.996750079131124e-20,7.635198453954518e-19
13,11838,49301,50000,7529,7529,0.98602,1.0,0.013979999999999992,1000000000.0,1.3784581808623892e-43,1.536009651616532e-42
19,638,70,50000,7529,7529,0.0014,1.0,0.9986,1000000000.0,0.0,0.0
19,695,49514,50000,7529,7529,0.99028,1.0,0.009719999999999951,1000000000.0,1.8181826419876365e-30,1.6932287931539095e-29
13,2520,3973,50000,7529,7529,0.07946,1.0,0.92054,1000000000.0,0.0,0.0
13,2329,1288,50000,7529,7529,0.02576,1.0,0.97424,1000000000.0,0.0,0.0
13,2230,25677,50000,7529,7529,0.51354,1.0,0.48646,1000000000.0,0.0,0.0
19,1092,22909,50000,7529,7529,0.45818,1.0,0.54182,1000000000.0,0.0,0.0
0,1504,1338,50000,7529,7529,0.02676,1.0,0.97324,1000000000.0,0.0,0.0
6,10155,117,50000,7529,7529,0.00234,1.0,0.99766,1000000000.0,0.0,0.0
23,15104,9889,50000,7529,7529,0.19778,1.0,0.8022199999999999,1000000000.0,0.0,0.0
6,9860,26,50000,7529,7529,0.00052,1.0,0.99948,1000000000.0,0.0,0.0
6,9975,1293,50000,7529,7529,0.02586,1.0,0.97414,1000000000.0,0.0,0.0
5,14395,9355,50000,7529,7529,0.1871,1.0,0.8129,1000000000.0,0.0,0.0
5,14376,1292,50000,7529,7529,0.02584,1.0,0.97416,1000000000.0,0.0,0.0
17,2008,1673,50000,7529,7529,0.03346,1.0,0.96654,1000000000.0,0.0,0.0
0,1426,202,50000,7529,7529,0.00404,1.0,0.99596,1000000000.0,0.0,0.0
16,13375,49666,50000,7529,7529,0.99332,1.0,0.006680000000000019,1000000000.0,3.8931594873170884e-21,3.064062172831931e-20
16,13400,17427,50000,7529,7529,0.34854,1.0,0.6514599999999999,1000000000.0,0.0,0.0
18,10446,216,50000,7529,7529,0.00432,1.0,0.99568,1000000000.0,0.0,0.0
19,1364,117,50000,7529,7529,0.00234,1.0,0.99766,1000000000.0,0.0,0.0
13,1388,0,50000,7529,7529,0.0,1.0,1.0,1000000000.0,0.0,0.0
13,1410,7304,50000,7529,7529,0.14608,1.0,0.85392,1000000000.0,0.0,0.0
13,984,1,50000,7529,7529,2e-05,1.0,0.99998,1000000000.0,0.0,0.0
13,1245,2108,50000,7529,7529,0.04216,1.0,0.95784,1000000000.0,0.0,0.0
13,811,10039,50000,7529,7529,0.20078,1.0,0.79922,1000000000.0,0.0,0.0
13,655,3051,50000,7529,7529,0.06102,1.0,0.93898,1000000000.0,0.0,0.0
13,12212,20685,50000,7529,7529,0.4137,1.0,0.5863,1000000000.0,0.0,0.0
5,13785,15,50000,7529,7529,0.0003,1.0,0.9997,1000000000.0,0.0,0.0
6,10338,0,50000,7529,7529,0.0,1.0,1.0,1000000000.0,0.0,0.0
6,10256,5584,50000,7529,7529,0.11168,1.0,0.88832,1000000000.0,0.0,0.0
5,14033,1257,50000,7529,7529,0.02514,1.0,0.97486,1000000000.0,0.0,0.0
5,14043,110,50000,7529,7529,0.0022,1.0,0.9978,1000000000.0,0.0,0.0
5,14062,0,50000,4059,7529,0.0,0.5391154203745517,0.5391154203745517,1000000000.0,0.0,0.0
5,14086,60,50000,7529,7529,0.0012,1.0,0.9988,1000000000.0,0.0,0.0
5,14134,4046,50000,7529,7529,0.08092,1.0,0.91908,1000000000.0,0.0,0.0
17,2283,0,50000,7529,7529,0.0,1.0,1.0,1000000000.0,0.0,0.0
5,13101,20060,50000,7529,7529,0.4012,1.0,0.5988,1000000000.0,0.0,0.0
6,10969,4945,50000,7529,7529,0.0989,1.0,0.9011,1000000000.0,0.0,0.0
6,10760,3128,50000,7529,7529,0.06256,1.0,0.93744,1000000000.0,0.0,0.0
16,12796,10513,50000,7529,7529,0.21026,1.0,0.78974,1000000000.0,0.0,0.0
16,12800,49668,50000,7529,7529,0.99336,1.0,0.006639999999999979,1000000000.0,5.1629331587734614e-21,4.0512211146237734e-20
16,12281,12,50000,7529,7529,0.00024,1.0,0.99976,1000000000.0,0.0,0.0
23,10331,46846,50000,7529,7529,0.93692,1.0,0.06308000000000002,1000000000.0,9.6311752321323e-199,3.0193748528735984e-197
1,2152,16174,50000,7529,7529,0.32348,1.0,0.67652,1000000000.0,0.0,0.0
1,2007,30737,50000,7529,7529,0.61474,1.0,0.38526000000000005,1000000000.0,0.0,0.0
13,710,2223,50000,7529,7529,0.04446,1.0,0.9555400000000001,1000000000.0,0.0,0.0
13,397,13290,50000,7529,7529,0.2658,1.0,0.7342,1000000000.0,0.0,0.0
13,536,18804,50000,7529,7529,0.37608,1.0,0.62392,1000000000.0,0.0,0.0
1,9317,18407,50000,7529,7529,0.36814,1.0,0.63186,1000000000.0,0.0,0.0
1,9394,46,50000,7529,7529,0.00092,1.0,0.99908,1000000000.0,0.0,0.0
1,9645,754,50000,7529,7529,0.01508,1.0,0.98492,1000000000.0,0.0,0.0
13,12343,49583,50000,7529,7529,0.99166,1.0,0.008340000000000014,1000000000.0,3.151911193451454e-26,2.7356079497793936e-25
6,11254,520,50000,7529,7529,0.0104,1.0,0.9896,1000000000.0,0.0,0.0
6,11275,37,50000,7529,7529,0.00074,1.0,0.99926,1000000000.0,0.0,0.0
6,11067,1602,50000,7529,7529,0.03204,1.0,0.96796,1000000000.0,0.0,0.0
5,12842,0,50000,6877,7529,0.0,0.9134015141453048,0.9134015141453048,1000000000.0,0.0,0.0
5,12906,1289,50000,7529,7529,0.02578,1.0,0.97422,1000000000.0,0.0,0.0
5,12979,114,50000,7529,7529,0.00228,1.0,0.99772,1000000000.0,0.0,0.0
5,13205,49373,50000,7529,7529,0.98746,1.0,0.012539999999999996,1000000000.0,3.804592883391548e-39,4.015897353219182e-38
6,11107,12688,50000,7529,7529,0.25376,1.0,0.74624,1000000000.0,0.0,0.0
17,2573,16531,50000,7529,7529,0.33062,1.0,0.66938,1000000000.0,0.0,0.0
1,9734,67,50000,7529,7529,0.00134,1.0,0.99866,1000000000.0,0.0,0.0
1,9607,102,50000,7529,7529,0.00204,1.0,0.99796,1000000000.0,0.0,0.0
19,2828,1539,50000,7529,7529,0.03078,1.0,0.96922,1000000000.0,0.0,0.0
19,2851,0,50000,214,7529,0.0,0.028423429406295657,0.028423429406295657,1000000000.0,7.095944504706758e-191,2.1543431144558504e-189
1,9850,23891,50000,7529,7529,0.47782,1.0,0.52218,1000000000.0,0.0,0.0
12,16048,40139,50000,7529,7529,0.80278,1.0,0.19721999999999995,1000000000.0,0.0,0.0
13,12980,845,50000,7529,7529,0.0169,1.0,0.9831,1000000000.0,0.0,0.0
13,12832,1624,50000,7529,7529,0.03248,1.0,0.96752,1000000000.0,0.0,0.0
5,12051,5469,50000,7529,7529,0.10938,1.0,0.89062,1000000000.0,0.0,0.0
5,12059,1,50000,7529,7529,2e-05,1.0,0.99998,1000000000.0,0.0,0.0
23,9914,19930,50000,7529,7529,0.3986,1.0,0.6013999999999999,1000000000.0,0.0,0.0
5,12544,1348,50000,7529,7529,0.02696,1.0,0.97304,1000000000.0,0.0,0.0
5,12637,12999,50000,7529,7529,0.25998,1.0,0.74002,1000000000.0,0.0,0.0
5,12408,375,50000,7529,7529,0.0075,1.0,0.9925,1000000000.0,0.0,0.0
16,12143,10743,50000,7529,7529,0.21486,1.0,0.78514,1000000000.0,0.0,0.0
16,12171,46749,50000,7529,7529,0.93498,1.0,0.06501999999999997,1000000000.0,5.002643946752061e-205,1.6072451006963045e-203
0,1857,278,50000,7529,7529,0.00556,1.0,0.99444,1000000000.0,0.0,0.0
0,1872,12781,50000,7529,7529,0.25562,1.0,0.74438,1000000000.0,0.0,0.0
12,16094,5827,50000,7529,7529,0.11654,1.0,0.88346,1000000000.0,0.0,0.0
12,16109,1228,50000,7529,7529,0.02456,1.0,0.97544,1000000000.0,0.0,0.0
1,10048,176,50000,7529,7529,0.00352,1.0,0.99648,1000000000.0,0.0,0.0
1,10059,21,50000,7529,7529,0.00042,1.0,0.99958,1000000000.0,0.0,0.0
1,10072,16309,50000,7529,7529,0.32618,1.0,0.67382,1000000000.0,0.0,0.0
18,9891,49534,50000,7529,7529,0.99068,1.0,0.009319999999999995,1000000000.0,3.08234584235099e-29,2.8153048120844017e-28
1,1851,38070,50000,7529,7529,0.7614,1.0,0.23860000000000003,1000000000.0,0.0,0.0
12,15942,4128,50000,7529,7529,0.08256,1.0,0.91744,1000000000.0,0.0,0.0
12,15995,10554,50000,7529,7529,0.21108,1.0,0.7889200000000001,1000000000.0,0.0,0.0
25,7569,40820,50000,7529,7529,0.8164,1.0,0.18359999999999999,1000000000.0,0.0,0.0
12,15914,12246,50000,7529,7529,0.24492,1.0,0.75508,1000000000.0,0.0,0.0
6,11853,2,50000,7529,7529,4e-05,1.0,0.99996,1000000000.0,0.0,0.0
0,1942,45,50000,7529,7529,0.0009,1.0,0.9991,1000000000.0,0.0,0.0
0,1987,32513,50000,7529,7529,0.65026,1.0,0.34974000000000005,1000000000.0,0.0,0.0
16,11221,7520,50000,7529,7529,0.1504,1.0,0.8496,1000000000.0,0.0,0.0
16,11340,4301,50000,7529,7529,0.08602,1.0,0.91398,1000000000.0,0.0,0.0
6,11593,1344,50000,7529,7529,0.02688,1.0,0.97312,1000000000.0,0.0,0.0
19,3360,49189,50000,7529,7529,0.98378,1.0,0.016220000000000012,1000000000.0,1.6568115298512312e-50,1.999759733465976e-49
1,10183,33,50000,7529,7529,0.00066,1.0,0.99934,1000000000.0,0.0,0.0
1,10185,11516,50000,7529,7529,0.23032,1.0,0.76968,1000000000.0,0.0,0.0
12,15596,9470,50000,7529,7529,0.1894,1.0,0.8106,1000000000.0,0.0,0.0
19,3646,5105,50000,7529,7529,0.1021,1.0,0.8979,1000000000.0,0.0,0.0
19,3656,47,50000,7529,7529,0.00094,1.0,0.99906,1000000000.0,0.0,0.0
