layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,freq_vqa,freq_vsr,freq_diff,odds_ratio,p_raw,p_adj
14,8000,727,50000,7529,7529,0.01454,1.0,0.98546,1000000000.0,0.0,0.0
15,8066,47029,50000,7529,7529,0.94058,1.0,0.05942000000000003,1000000000.0,6.413813219271453e-187,1.9157073414655242e-185
18,2830,49474,50000,7529,7529,0.98948,1.0,0.010519999999999974,1000000000.0,6.30609113578597e-33,6.110907723985192e-32
14,8297,49734,50000,7529,7529,0.99468,1.0,0.005319999999999991,1000000000.0,5.700696696636869e-17,4.0826473484837205e-16
4,4485,12077,50000,7529,7529,0.24154,1.0,0.75846,1000000000.0,0.0,0.0
15,7567,49747,50000,7529,7529,0.99494,1.0,0.005059999999999953,1000000000.0,3.561989720017096e-16,2.5004542110504794e-15
18,2779,4232,50000,7529,7529,0.08464,1.0,0.91536,1000000000.0,0.0,0.0
2,15492,48370,50000,7529,7529,0.9674,1.0,0.03259999999999996,1000000000.0,1.4622822925151626e-101,2.752093576454798e-100
15,6944,49630,50000,7529,7529,0.9926,1.0,0.007399999999999962,1000000000.0,2.414443289819306e-23,1.9859703998346894e-22
14,8895,49562,50000,7529,7529,0.99124,1.0,0.00875999999999999,1000000000.0,1.618249495806836e-27,1.4369208179884502e-26
14,8954,1920,50000,7529,7529,0.0384,1.0,0.9616,1000000000.0,0.0,0.0
15,6875,49552,50000,7529,7529,0.99104,1.0,0.008959999999999968,1000000000.0,3.9337359497592498e-28,3.530334502216838e-27
20,14525,49518,50000,7529,7529,0.99036,1.0,0.009639999999999982,1000000000.0,3.202752014423523e-30,2.970888474429349e-29
14,9166,49549,50000,7529,7529,0.99098,1.0,0.009020000000000028,1000000000.0,2.573419466814052e-28,2.315322022834218e-27
17,11308,49690,50000,7529,7529,0.9938,1.0,0.006199999999999983,1000000000.0,1.1511451857069878e-19,8.779171992054667e-19
10,14728,4390,50000,7529,7529,0.0878,1.0,0.9122,1000000000.0,0.0,0.0
0,12692,47615,50000,7529,7529,0.9523,1.0,0.047699999999999965,1000000000.0,2.411779743913895e-149,6.03170071291855e-148
0,12705,40151,50000,7529,7529,0.80302,1.0,0.19698000000000004,1000000000.0,0.0,0.0
10,14015,997,50000,7529,7529,0.01994,1.0,0.98006,1000000000.0,0.0,0.0
4,2044,30305,50000,7529,7529,0.6061,1.0,0.39390000000000003,1000000000.0,0.0,0.0
9,2291,49503,50000,7529,7529,0.99006,1.0,0.009939999999999949,1000000000.0,3.8313870385153853e-31,3.6066328778532646e-30
15,6220,1158,50000,7529,7529,0.02316,1.0,0.97684,1000000000.0,0.0,0.0
17,11540,49640,50000,7529,7529,0.9928,1.0,0.007199999999999984,1000000000.0,9.911904118533266e-23,8.058002183303641e-22
15,5287,2194,50000,7529,7529,0.04388,1.0,0.95612,1000000000.0,0.0,0.0
4,1383,2006,50000,7529,7529,0.04012,1.0,0.95988,1000000000.0,0.0,0.0
4,1498,48704,50000,7529,7529,0.97408,1.0,0.025920000000000054,1000000000.0,1.2083729969974693e-80,1.9362330741131087e-79
10,13238,49311,50000,7529,7529,0.98622,1.0,0.013780000000000014,1000000000.0,5.7088507944009485e-43,6.318046028427668e-42
