layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,freq_vqa,freq_vsr,freq_diff,odds_ratio,p_raw,p_adj,fire_fraction
4,1498,48704,50000,7529,7529,0.97408,1.0,0.02592,1000000000.0,1.2083729969974691e-80,1.9362330741131087e-79,1.0
10,13238,49311,50000,7529,7529,0.98622,1.0,0.01378,1000000000.0,5.708850794400949e-43,6.318046028427668e-42,0.324
21,575,49465,50000,7529,7529,0.9893,1.0,0.0107,1000000000.0,1.7621071248940607e-33,1.720798334496851e-32,0.77
21,880,6536,50000,7529,7529,0.13072,1.0,0.86928,1000000000.0,0.0,0.0,0.042
15,5126,49665,50000,7529,7529,0.9933,1.0,0.0067,1000000000.0,3.3806741690198525e-21,2.6640640531582456e-20,0.99
9,5115,2597,50000,7529,7529,0.05194,1.0,0.94806,1000000000.0,0.0,0.0,0.032
22,3543,5433,50000,7529,7529,0.10866,1.0,0.89134,1000000000.0,0.0,0.0,0.045
9,5082,2172,50000,7529,7529,0.04344,1.0,0.95656,1000000000.0,0.0,0.0,0.292
4,791,10852,50000,7529,7529,0.21704,1.0,0.78296,1000000000.0,0.0,0.0,0.2
15,4538,526,50000,7529,7529,0.01052,1.0,0.98948,1000000000.0,0.0,0.0,0.023
14,10395,2853,50000,7529,7529,0.05706,1.0,0.94294,1000000000.0,0.0,0.0,0.297
0,12182,42121,50000,7529,7529,0.84242,1.0,0.15758,1000000000.0,0.0,0.0,0.89
21,2418,1379,50000,7529,7529,0.02758,1.0,0.97242,1000000000.0,0.0,0.0,0.036
9,6479,4171,50000,7529,7529,0.08342,1.0,0.91658,1000000000.0,0.0,0.0,0.047
24,12267,49468,50000,7529,7529,0.98936,1.0,0.0106399999999999,1000000000.0,2.695372061738429e-33,2.624123808359234e-32,0.729
24,16044,16939,50000,7529,7529,0.33878,1.0,0.6612199999999999,1000000000.0,0.0,0.0,0.018
9,8680,295,50000,7529,7529,0.0059,1.0,0.9941,1000000000.0,0.0,0.0,0.015
10,8940,379,50000,7529,7529,0.00758,1.0,0.99242,1000000000.0,0.0,0.0,0.018
14,11564,49656,50000,7529,7529,0.99312,1.0,0.0068799999999999,1000000000.0,9.489898981447178e-22,7.563793600480475e-21,1.0
25,12811,2093,50000,7529,7529,0.04186,1.0,0.95814,1000000000.0,0.0,0.0,0.019
21,5475,24874,50000,7529,7529,0.49748,1.0,0.5025200000000001,1000000000.0,0.0,0.0,0.879
25,11906,2832,50000,7529,7529,0.05664,1.0,0.94336,1000000000.0,0.0,0.0,0.01
9,10432,3494,50000,7529,7529,0.06988,1.0,0.93012,1000000000.0,0.0,0.0,0.027
9,10278,49526,50000,7529,7529,0.99052,1.0,0.00948,1000000000.0,9.936635696881456e-30,9.146170744814931e-29,1.0
15,1978,49740,50000,7529,7529,0.9948,1.0,0.0051999999999999,1000000000.0,1.3280917151860483e-16,9.424541824814902e-16,1.0
10,7168,48485,50000,7529,7529,0.9697,1.0,0.0302999999999999,1000000000.0,2.410967781493521e-94,4.307846564455082e-93,0.095
21,5924,49180,50000,7529,7529,0.9836,1.0,0.0163999999999999,1000000000.0,4.5978487279340257e-51,5.584858832393065e-50,0.95
3,5757,48471,50000,7529,7529,0.96942,1.0,0.03058,1000000000.0,3.1947229860116904e-95,5.737839937908778e-94,1.0
9,11413,1241,50000,7529,7529,0.02482,1.0,0.97518,1000000000.0,0.0,0.0,0.046
14,12885,49595,50000,7529,7529,0.9919,1.0,0.0080999999999999,1000000000.0,1.7187738935172833e-25,1.47158053273318e-24,0.959
15,1038,49512,50000,7529,7529,0.99024,1.0,0.0097599999999999,1000000000.0,1.3698961925069969e-30,1.2786858462845948e-29,0.947
15,1057,49547,50000,7529,7529,0.99094,1.0,0.0090599999999999,1000000000.0,1.939285362047417e-28,1.7475926797960843e-27,0.908
14,16377,47305,50000,7529,7529,0.9461,1.0,0.0538999999999999,1000000000.0,3.6187910129445177e-169,9.971842104005157e-168,0.996
10,4931,49606,50000,7529,7529,0.99212,1.0,0.0078799999999999,1000000000.0,8.1344924402732785e-25,6.879282975675234e-24,1.0
14,13294,378,50000,7529,7529,0.00756,1.0,0.99244,1000000000.0,0.0,0.0,0.015
21,12833,49619,50000,7529,7529,0.99238,1.0,0.0076199999999999,1000000000.0,5.105165068805906e-24,4.2547270492246883e-23,1.0
14,13282,49739,50000,7529,7529,0.99478,1.0,0.00522,1000000000.0,1.1534911018763067e-16,8.200139406923611e-16,0.996
14,15388,3676,50000,7529,7529,0.07352,1.0,0.92648,1000000000.0,0.0,0.0,0.231
10,3911,345,50000,7529,7529,0.0069,1.0,0.9931,1000000000.0,0.0,0.0,0.02
10,3668,49559,50000,7529,7529,0.99118,1.0,0.00882,1000000000.0,1.058730765041222e-27,9.429869450630815e-27,0.98
10,447,1101,50000,7529,7529,0.02202,1.0,0.97798,1000000000.0,0.0,0.0,0.02
17,14475,49675,50000,7529,7529,0.9935,1.0,0.0064999999999999,1000000000.0,1.3865652900987103e-20,1.078762129084085e-19,1.0
14,14344,2664,50000,7529,7529,0.05328,1.0,0.94672,1000000000.0,0.0,0.0,0.075
10,698,41509,50000,7529,7529,0.83018,1.0,0.1698199999999999,1000000000.0,0.0,0.0,0.95
0,10714,48533,50000,7529,7529,0.97066,1.0,0.02934,1000000000.0,2.453903009107883e-91,4.282181882888093e-90,0.965
10,1377,3681,50000,7529,7529,0.07362,1.0,0.92638,1000000000.0,0.0,0.0,0.208
14,14322,4175,50000,7529,7529,0.0835,1.0,0.9165,1000000000.0,0.0,0.0,0.188
0,10435,30626,50000,7529,7529,0.61252,1.0,0.38748,1000000000.0,0.0,0.0,0.577
3,9326,48560,50000,7529,7529,0.9712,1.0,0.0288,1000000000.0,1.2035175545694778e-89,2.0731064373866735e-88,1.0
13,10832,49667,50000,7529,7529,0.99334,1.0,0.0066599999999999,1000000000.0,4.483321924750606e-21,3.523139401551361e-20,0.975
13,10586,1871,50000,7529,7529,0.03742,1.0,0.96258,1000000000.0,0.0,0.0,0.098
7,15406,756,50000,7528,7529,0.01512,0.9998671802364192,0.9847471802364192,490355.5978835979,0.0,0.0,0.015
12,15670,1362,50000,7528,7529,0.02724,0.9998671802364192,0.9726271802364193,268830.2966226138,0.0,0.0,0.026
9,6929,1371,50000,7528,7529,0.02742,0.9998671802364192,0.9724471802364192,267016.12837345,0.0,0.0,0.046
