layer,feature,fire_fraction
4,11446,0.571
4,11471,0.516
4,11545,0.11
4,11591,0.06
4,12196,0.486
4,12258,0.05
4,12259,0.21
4,12355,0.675
4,12514,0.247
4,12524,0.275
4,12578,1.0
4,12589,0.903
4,12718,0.061
4,12767,0.035
4,12773,0.985
4,12809,0.359
4,12897,0.64
4,13106,0.626
4,13173,0.306
4,13228,0.035
4,13312,0.399
4,13350,0.579
4,13397,0.319
4,13430,0.32
4,13638,0.637
4,13706,0.3
4,13888,0.264
4,14128,0.075
4,14246,0.092
4,14300,0.015
4,14364,0.03
4,14408,1.0
4,14422,0.979
4,14491,0.015
4,14598,1.0
4,14744,0.109
4,15088,0.325
4,15094,0.167
4,15284,0.089
4,15679,0.316
4,15711,0.03
4,15725,0.263
4,15740,0.165
4,15821,0.2
4,15874,0.183
4,16012,0.05
4,16089,0.218
4,16337,0.321
5,95,0.321
5,102,0.129
5,300,0.17
5,574,0.09
5,704,1.0
5,822,0.035
5,829,0.055
5,849,0.04
5,879,0.252
5,1105,0.185
5,1127,0.392
5,1305,0.045
5,1544,0.144
5,1624,0.979
5,1717,0.183
5,1773,0.231
5,1890,0.063
5,2017,0.045
5,2040,0.072
5,2182,0.03
5,2293,0.719
5,2326,0.64
5,2339,0.084
5,2353,0.468
5,2515,0.355
5,2677,0.046
5,2711,0.181
5,2737,0.984
5,2765,0.434
5,2790,0.217
5,2876,0.409
5,2908,1.0
5,2914,0.926
5,3242,0.424
5,3261,0.328
5,3425,0.205
5,3578,0.536
5,3808,0.1
5,3895,0.561
5,4058,0.496
5,4169,0.015
5,4178,0.364
5,4318,0.277
5,4438,0.18
5,4612,0.065
5,4664,0.04
5,4858,0.207
5,5031,0.014
5,5167,0.032
5,5230,0.175
5,5231,0.119
5,5242,0.169
5,5368,0.035
5,5463,0.284
5,5765,0.237
5,5869,0.015
5,6109,0.242
5,6260,0.088
5,6404,1.0
5,6574,0.168
5,6672,0.067
5,6690,0.055
5,6713,0.964
5,6785,0.186
5,7036,0.296
5,7257,0.569
5,7264,0.035
5,7274,0.09
5,7320,0.05
5,7333,0.185
5,7429,0.185
5,7473,0.72
5,7485,0.583
5,7503,0.604
5,7787,0.799
5,7881,0.991
5,8253,0.165
5,8411,0.014
5,8530,0.105
5,8731,0.396
5,8743,0.1
5,8749,0.258
5,8971,0.142
5,9043,0.17
5,9084,0.183
5,9205,0.862
5,9290,0.03
5,9875,0.129
5,9973,0.147
5,9988,0.336
5,10162,0.997
5,10679,0.194
5,10789,0.46
5,10852,0.319
5,10922,0.129
5,10936,0.223
5,10953,0.983
5,10980,0.015
5,11088,0.015
5,11332,0.649
5,11345,0.121
5,11376,0.1
5,11455,0.457
5,11463,0.233
5,11470,0.074
5,11650,0.889
5,11752,0.794
5,11910,0.061
5,11922,0.199
5,11926,0.081
5,11933,0.172
5,12024,0.055
5,12051,0.114
5,12268,0.393
5,12455,0.536
5,12469,0.463
5,12648,0.075
5,12857,0.101
5,12952,0.17
5,12954,0.067
5,13354,0.196
5,13652,0.051
5,13661,0.025
5,13789,0.819
5,13807,0.174
5,13902,0.038
5,13956,0.237
5,14143,0.15
5,14210,0.751
5,14419,0.185
5,14464,0.221
5,15013,0.545
5,15060,1.0
5,15246,0.085
5,15375,0.075
5,15470,0.108
5,15526,0.367
5,15996,0.266
5,16034,0.079
5,16185,0.04
5,16236,0.558
5,16240,0.014
6,120,0.245
6,164,0.03
6,196,1.0
6,216,0.17
6,238,0.081
6,369,0.065
6,475,0.024
6,565,0.096
6,612,0.126
6,698,0.25
6,990,0.02
6,1004,0.02
6,1109,0.991
6,1187,0.883
6,1266,0.023
6,1291,0.218
6,1295,0.15
6,1316,0.064
6,1367,1.0
6,1393,0.16
6,1445,0.251
6,1467,0.258
6,1576,0.067
6,1622,0.358
6,1797,0.145
6,1833,0.377
6,1860,0.527
6,2074,0.121
6,2117,0.223
6,2120,1.0
6,2143,0.027
6,2154,0.749
6,2180,1.0
6,2465,0.165
6,2625,0.17
6,2879,0.139
6,2932,0.167
6,2958,0.245
6,2998,0.319
6,3134,0.278
6,3178,0.015
6,3181,0.429
6,3244,0.976
6,3260,0.528
6,3374,0.068
6,3592,0.187
6,3612,0.61
6,3629,0.306
6,3688,0.088
6,3706,0.024
6,3745,0.885
6,3765,0.612
6,3919,0.714
6,3976,1.0
6,4072,0.05
6,4084,0.293
6,4088,0.222
6,4147,0.795
6,4198,0.403
6,4236,0.204
6,4327,0.249
6,4333,0.211
6,4388,0.265
6,4439,0.194
6,4443,0.035
6,4677,0.353
6,4783,0.143
6,4936,0.81
6,4945,0.349
6,4994,0.048
6,5182,0.405
6,5204,0.063
6,5313,0.05
6,5354,0.366
6,5661,0.348
6,5748,0.357
6,5763,0.047
6,5859,0.537
6,5889,0.233
6,5970,0.06
6,5988,0.715
6,5989,0.213
6,6069,0.565
6,6299,0.769
6,6337,0.049
6,6396,0.989
6,6477,0.185
6,6482,0.131
6,6624,0.3
6,6634,0.283
6,6746,0.1
6,6780,0.053
6,6838,0.015
6,6921,0.066
6,6953,0.976
6,7055,0.634
6,7090,0.689
6,7245,0.318
6,7372,0.685
6,7381,0.227
6,7424,0.121
6,7449,0.297
6,7539,0.05
6,7930,0.055
6,7932,0.22
6,7951,0.408
6,7969,0.111
6,8474,0.075
6,8514,0.119
6,8614,1.0
6,8622,0.155
6,8725,0.22
6,8767,0.115
6,9119,0.016
6,9143,0.044
6,9286,0.05
6,9380,0.987
6,9598,0.172
6,9691,0.638
6,9756,0.068
6,9853,0.195
6,9872,0.866
6,9947,0.083
6,9985,0.015
6,9991,0.22
6,10103,0.542
6,10171,1.0
6,10209,0.352
6,10210,0.341
6,10245,0.509
6,10259,0.015
6,10267,0.015
6,10533,0.133
6,10571,0.05
6,10621,0.02
6,10694,0.655
6,10711,0.106
6,10782,0.015
6,10783,0.045
6,10790,0.249
6,10843,0.388
6,10895,0.934
6,10926,0.908
6,10938,0.143
6,11071,0.142
6,11106,0.552
6,11125,0.385
6,11155,0.216
6,11339,0.317
6,11462,0.298
6,11643,0.591
6,11647,0.325
6,11759,0.157
6,11817,0.749
6,11877,0.598
6,11926,0.075
6,11931,0.363
6,12030,0.062
6,12079,0.185
6,12106,0.748
6,12127,0.05
6,12132,0.075
6,12154,0.146
6,12361,0.512
6,12614,0.792
6,12772,0.06
6,12789,0.083
6,12792,0.015
6,12822,1.0
6,13243,0.02
6,13251,0.248
6,13438,0.244
6,13513,0.149
6,13525,0.312
6,13617,0.415
6,13619,0.972
6,13652,0.997
6,13671,0.051
6,13708,1.0
6,13744,0.039
6,13778,0.168
6,13807,0.478
6,13831,0.015
6,13943,0.991
6,14068,0.315
6,14211,0.069
6,14332,1.0
6,14355,0.229
6,14657,0.967
6,14744,0.134
6,14750,0.105
6,14906,0.03
6,14995,0.146
6,15068,0.024
6,15294,0.205
6,15315,0.975
6,15324,0.297
6,15389,0.21
6,15391,0.018
6,15730,0.942
6,15796,0.072
6,15839,0.015
6,15894,0.182
6,15944,0.13
