layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,odds_ratio,p_raw,freq_vsr,freq_vqa,freq_diff,p_adj
10,3476,4933,1323088,38017,2701355,3.814230399153924,0.0,0.014073307654862,0.0037283990180547,0.0103449086368073,0.0
9,11245,15283,1323088,115033,2701355,3.806047748196051,0.0,0.0425834442344675,0.0115510079450497,0.0310324362894177,0.0
10,1966,6549,1323088,49994,2701355,3.790598273518069,0.0,0.0185070085197983,0.004949784141342,0.0135572243784563,0.0
21,10,5524,1323088,42222,2701355,3.787187366593914,0.0,0.0156299338665225,0.0041750813249005,0.011454852541622,0.0
5,16104,5024,1323088,38137,2701355,3.756874409438286,0.0,0.0141177298059677,0.0037971775120022,0.0103205522939655,0.0
22,8100,7873,1323088,59166,2701355,3.7408029409747954,0.0,0.0219023416026401,0.0059504734378967,0.0159518681647433,0.0
9,4793,6090,1323088,45835,2701355,3.732634637538606,0.0,0.0169674107993951,0.0046028684411014,0.0123645423582936,0.0
25,7389,14445,1323088,106488,2701355,3.717827262347687,0.0,0.0394202168911527,0.0109176411546321,0.0285025757365205,0.0
5,14966,8253,1323088,61368,2701355,3.7033912192233367,0.0,0.0227174880754288,0.0062376803356995,0.0164798077397292,0.0
9,10292,9283,1323088,68843,2701355,3.7011099571940704,0.0,0.0254846179047181,0.00701616219027,0.0184684557144481,0.0
4,11756,26250,1323088,187832,2701355,3.691842280503917,0.0,0.0695325123873019,0.0198399501771613,0.0496925622101406,0.0
7,8391,8341,1323088,61719,2701355,3.685521129295283,0.0,0.0228474228674128,0.0063041914067696,0.0165432314606432,0.0
22,12621,22531,1323088,161343,2701355,3.666597879065628,0.0,0.0597266927153224,0.0170291016168236,0.0426975910984988,0.0
22,575,9022,1323088,66159,2701355,3.656708702872221,0.0,0.0244910424583218,0.0068188963999371,0.0176721460583847,0.0
10,14718,13435,1323088,97657,2701355,3.6562117547504247,0.0,0.0361511167543695,0.0101542754525776,0.0259968413017919,0.0
19,10774,18251,1323088,129928,2701355,3.6124192810893385,0.0,0.0480973437404561,0.0137942449784141,0.034303098762042,0.0
8,13970,7828,1323088,56770,2701355,3.60680081705971,0.0,0.0210153793188973,0.0059164620947359,0.0150989172241614,0.0
22,11226,9533,1323088,68266,2701355,3.572379483484028,0.0,0.0252710213948185,0.0072051140967191,0.0180659072980993,0.0
24,13656,5453,1323088,39056,2701355,3.544790374295348,0.0,0.0144579294465185,0.0041214189834689,0.0103365104630495,0.0
12,91,22574,1323088,156524,2701355,3.543467895716789,0.0,0.0579427731638381,0.0170616013447329,0.0408811718191052,0.0
18,8306,7111,1323088,50496,2701355,3.525234156566625,0.0,0.018692841185257,0.0053745480270397,0.0133182931582172,0.0
17,2799,8388,1323088,59410,2701355,3.5245528026768165,0.0,0.0219926666432216,0.006339714365182,0.0156529522780395,0.0
16,2904,6468,1323088,45970,2701355,3.524012520832729,0.0,0.0170173857193889,0.0048885637236525,0.0121288219957364,0.0
24,8087,10975,1323088,76925,2701355,3.50428339545204,0.0,0.0284764497816836,0.0082949886931179,0.0201814610885657,0.0
10,2793,5463,1323088,38644,2701355,3.500407992939916,0.0,0.0143054133943891,0.0041289770597269,0.0101764363346621,0.0
4,8823,6632,1323088,46654,2701355,3.4884708819265717,0.0,0.0172705919806911,0.0050125161742831,0.0122580758064079,0.0
25,8716,13883,1323088,96169,2701355,3.481133639864496,0.0,0.0356002820806595,0.0104928772689344,0.025107404811725,0.0
